LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,FACILITY_STATUS_DESC,LICENSE_NUM,LICENSEE_NAME,PARENT_OSHPD_ID,OSHPD_ID,PERM_ID,FACILITY_NUM,FACID,FACILITY_LEVEL_DESC,FACILITY_NAME,FACNAME,CONSOLIDATED_NAME,DBA_ADDRESS,DBA_CITY,DBA_ZIP_CODE,COUNTY_NAME,COUNTY_FIPS_CODE,LA_COUNTY_SPA_CODE,CONGRESSIONAL_DISTRICT_NUM,ASSEMBLY_DISTRICT_NUM,SENATE_DISTRICT_NUM,MSSA_CODE,MSSA_DESIGNATION,CENSUS_TRACT_ID,CENSUS_BLOCK_ID,LONGITUDE,LATITUDE
Hospital,General Acute Care Hospital,Open,140000002,ALAMEDA HEALTH SYSTEM,106010735,106010735,11210,010735,140000686,Parent Facility,ALAMEDA HOSPITAL,ALAMEDA HOSPITAL D/P SNF,,2070 CLINTON AVE,ALAMEDA,94501,ALAMEDA,001,,13,18,9,2e,Urban,06001428500,060014285002010,-122.253991,37.76266
Hospital,General Acute Care Hospital,Open,140000002,ALAMEDA HEALTH SYSTEM,106010735,106010735,11210,010735,140000011,Parent Facility,ALAMEDA HOSPITAL,ALAMEDA HOSPITAL,,2070 CLINTON AVE,ALAMEDA,94501,ALAMEDA,001,,13,18,9,2e,Urban,06001428500,060014285002010,-122.253991,37.76266
Hospital,General Acute Care Hospital,Open,140000004,SUTTER EAST BAY HOSPITALS,106010739,106010739,11214,010739,140000012,Parent Facility,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,,2450 ASHBY AVENUE,BERKELEY,94705,ALAMEDA,001,,13,15,9,2b,Urban,06001423902,060014239022001,-122.25743,37.85645
Hospital,General Acute Care Hospital,Open,140000015,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,106010776,106010776,11242,010776,140000014,Parent Facility,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,,747 52ND STREET,OAKLAND,94609,ALAMEDA,001,,13,15,9,2c,Urban,06001401000,060014010001001,-122.26747,37.83722
Hospital,Chemical Dep. Recovery Hospital,Closed,140000272,"ADOLESCENT TREATMENT CENTERS, INC.",106010782,106010782,11244,010782,140000380,Parent Facility,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,,390 40TH STREET,OAKLAND,94609,ALAMEDA,001,,13,15,9,2b,Urban,06001401200,060014012003002,,
Hospital,General Acute Care Hospital,Closed,140000030,EDEN MEDICAL CENTER,106010805,106010805,11260,010805,140000183,Parent Facility,EDEN MEDICAL CENTER,EDEN MEDICAL CENTER,,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,ALAMEDA,001,,15,20,10,2f,Urban,06001430900,060014309002004,,
Hospital,General Acute Care Hospital,Open,140000046,ALAMEDA HEALTH SYSTEM,106010846,106010811,11268,010811,140000321,Consolidated Facility,FAIRMONT HOSPITAL,ALAMEDA COUNTY MEDICAL CENTER D/P SNF,,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,ALAMEDA,001,,15,20,10,2f,Urban,06001430500,060014305001012,-122.11819,37.70648
Hospital,General Acute Care Hospital,Open,140000046,ALAMEDA HEALTH SYSTEM,106010846,106010811,11268,010811,140000184,Consolidated Facility,FAIRMONT HOSPITAL,FAIRMONT HOSPITAL,,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,ALAMEDA,001,,15,20,10,2f,Urban,06001430500,060014305001012,-122.11819,37.70648
Hospital,General Acute Care Hospital,Open,140000004,SUTTER EAST BAY HOSPITALS,106010739,106010844,11285,010844,140000271,Consolidated Facility,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ABSMC - HERRICK CAMPUS D/P APH,,2001 DWIGHT WAY,BERKELEY,94704,ALAMEDA,001,,13,15,9,2a,Urban,06001422900,060014229001014,-122.26984,37.86373
Hospital,General Acute Care Hospital,Open,140000004,SUTTER EAST BAY HOSPITALS,106010739,106010844,11285,010844,140000006,Consolidated Facility,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,,2001 DWIGHT WAY,BERKELEY,94704,ALAMEDA,001,,13,15,9,2a,Urban,06001422900,060014229001014,-122.26984,37.86373
